mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index,boundary,seed,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid,dataset,walks
bunny,original,0,1,0.05,0.15,-0.067084685,0.117976248,0.0773394257,0.09737175020327817,0.0055640546066623355,1.1658161306403506e-05,1.6771101699661548,0.8345503788400301,0.004748014555633229,0,neumann,19601,0.128230989,0.0001,4.99999987e-05,0.169316426,0.153949559,0.0153668672,0.580287933,0.0410854369,0.0257185698,0.0132702021,0.013210251,0.0450811572,0.0446747467,106.976562,145.617188,256,256,0,0,1,part1_bias,256
bunny,original,1,1,0.05,0.15,-0.0922575668,0.159452081,0.0443730466,0.06648822839078515,0.006698542607324648,1.53197013561852e-05,2.106330294698812,0.7276898808220521,0.0025474463904191502,1,neumann,19601,0.111567557,0.0001,4.99999987e-05,0.092121996,0.133396924,0.0412749276,1.7252363,0.0194455609,0.0218293667,0.012400548,0.0115226684,0.0393660367,0.0339896046,85.8945312,127.058594,256,256,0,0,1,part1_bias,256
bunny,original,2,1,0.05,0.15,-0.0933401659,0.150574431,0.0668218732,0.10237503835135735,0.005856151349208589,1.3217339588682223e-05,1.652817257831133,0.8555049854379475,0.0030894274081242346,2,neumann,19601,0.124056138,0.0001,4.99999987e-05,0.160547704,0.154772401,0.00577530265,0.256387532,0.0364915654,0.0307162628,0.0108590312,0.0116656469,0.0301871486,0.0348383524,84.2226562,111.992188,256,256,0,0,1,part1_bias,256
bunny,original,3,1,0.05,0.15,-0.0185285453,0.106607415,-0.0449450836,0.06714010205110166,0.0056078147858626805,1.198455420130304e-05,1.6309734133699407,0.8478016359653223,0.004021848408863289,3,neumann,19601,0.0431337878,0.0001,4.99999987e-05,0.036579866,0.0152544361,0.0213254299,0.734690964,0.00655392185,0.0278793518,0.014842825,0.0141825704,0.0563992225,0.0514932014,125.195312,175.957031,256,256,0,0,1,part1_bias,256
bunny,original,4,1,0.05,0.15,-0.0976603329,0.0314677618,0.0159318298,0.10791631619695659,0.0050415918424671895,9.230803128473883e-06,1.8557081254501189,0.7874734193177868,0.20152251845428848,4,neumann,19601,-0.0502607375,0.0001,4.99999987e-05,-0.0686017126,-0.100762807,0.0321610942,1.11876261,0.018340975,0.0505020693,0.0144075723,0.0143384514,0.053140007,0.0526313409,93.8359375,125.890625,256,256,0,0,1,part1_bias,256
bunny,original,5,1,0.05,0.15,0.0403933711,0.104567476,0.0474552549,0.053677803797356774,0.005548206855434766,1.1736316867304035e-05,1.660681466021535,0.8463934640869113,0.001289578353709279,5,neumann,19601,0.192416102,0.0001,4.99999987e-05,0.260522306,0.242927492,0.0175948143,0.668650448,0.0681062043,0.05051139,0.0135592241,0.0127536952,0.0470662527,0.0416401289,122.394531,158.480469,256,256,0,0,1,part1_bias,256
bunny,original,6,1,0.05,0.15,0.0592114404,0.0807502791,-0.0263680369,0.0965031067940991,0.005933032132481733,1.4249655386033745e-05,1.4029611646051183,0.9167041872621277,0.004492452022229772,6,neumann,19601,0.113593683,0.0001,4.99999987e-05,0.124268517,0.116469808,0.00779870898,0.259250522,0.0106748343,0.00287612528,0.015108251,0.0149724977,0.0584343709,0.0573889799,98.8710938,137.128906,256,256,0,0,1,part1_bias,256
bunny,original,7,1,0.05,0.15,0.00316647743,0.113946065,0.0566410087,0.058359717862228024,0.005507884070769382,1.1315962924342462e-05,1.7131578513218306,0.8241568291400994,0.0063528322973043965,7,neumann,19601,0.173753545,0.0001,4.99999987e-05,0.255999982,0.230201334,0.0257986486,0.954239428,0.0822464377,0.0564477891,0.0132795302,0.0137552917,0.0451445542,0.0484372601,115.644531,187.433594,256,256,0,0,1,part1_bias,256
bunny,original,8,1,0.05,0.15,-0.0144315343,0.104213901,0.000829365861,0.07875551762113091,0.005800222417019295,1.3578516276922835e-05,1.4589269800788598,0.9111821941295345,0.017032429575888797,8,neumann,19601,0.0906117335,0.0001,4.99999987e-05,,,,,,,,,,,,,,,,,0,part1_bias,256
bunny,original,9,1,0.05,0.15,0.0340803266,0.0906737596,0.0716325417,0.10313668726335373,0.005405250147071497,1.1113525976297415e-05,1.6263409601875531,0.8463266902760065,0.005045879140500142,9,neumann,19601,0.196386635,0.0001,4.99999987e-05,,,,,,,,,,,,,,,,,0,part1_bias,256
